itemLabel,age
Ismaïl Omar Guelleh,69
Dileita Mohamed Dileita,58
Mahamoud Ali Youssouf,16
Barkat Gourad Hamadou,86
Ahmed Ali Silay,62
Abdallah Mohamed Kamil,80
Ali Abdi Farah,69
Ali Aref Bourhan,82
Ali Farah Assoweh,47
Daher Ahmed Farah,54
Ougoureh Kifleh Ahmed,61
Yacin Elmi Bouh,54
Ahmed Boulaleh Barreh,87
Ahmed Mohamed Hassan,71
Ali Mohamed Daoud,66
Mohamed Abdoulkader Mohamed,65
Mohamed Ali Mohamed,64
Mohamed Dini Farah,73
Souleiman Miyir Ali,55
Abdoulkader Kamil Mohamed,65
Hasna Mohamed Dato,57
